Date,Adj Close,Close,High,Low,Open,Volume
2023-06-01,1706.800048828125,1706.800048828125,1768.0,1365.300048828125,1368.0,13519228
2023-07-01,1742.75,1742.75,1949.0,1661.050048828125,1707.949951171875,7516032
2023-08-01,1802.9000244140625,1802.9000244140625,1945.0,1726.050048828125,1760.0,10358845
2023-09-01,1795.300048828125,1795.300048828125,1845.0,1686.1500244140625,1802.9000244140625,5128586
2023-10-01,1741.550048828125,1741.550048828125,1848.0,1690.0,1795.300048828125,2623195
2023-11-01,1897.5999755859375,1897.5999755859375,2041.1500244140625,1683.050048828125,1730.0,4837864
2023-12-01,1982.5,1982.5,2039.0999755859375,1821.0,1898.050048828125,39054476
2024-01-01,1999.949951171875,1999.949951171875,2261.0,1967.300048828125,1990.0,8801734
2024-02-01,2135.60009765625,2135.60009765625,2297.39990234375,2018.300048828125,2061.050048828125,11717837
2024-03-01,2300.75,2300.75,2366.35009765625,2016.550048828125,2139.60009765625,24963630
2024-04-01,2364.39990234375,2364.39990234375,2490.0,2241.10009765625,2312.39990234375,7849981
2024-05-01,2139.75,2139.75,2399.050048828125,2056.0,2364.39990234375,30021546
2024-06-01,2129.199951171875,2129.199951171875,2282.75,1931.3499755859375,2191.0,9764608
2024-07-01,2028.0999755859375,2028.0999755859375,2250.0,2012.0,2129.199951171875,15981915
2024-08-01,2487.75,2487.75,2506.10009765625,1901.050048828125,2038.0,15947577
2024-09-01,2520.699951171875,2520.699951171875,2780.0,2371.0,2521.0,13303454
2024-10-01,2667.35009765625,2667.35009765625,2835.0,2405.0,2529.89990234375,6655314
2024-11-01,2561.199951171875,2561.199951171875,2874.0,2506.050048828125,2720.050048828125,6297207
2024-12-01,2880.39990234375,2880.39990234375,3054.800048828125,2535.39990234375,2543.60009765625,12619718
2025-01-01,2506.89990234375,2506.89990234375,2998.39990234375,2481.449951171875,2899.0,13148156
