Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,5535.95458984375,6626.0,7040.2998046875,6605.0,7025.85009765625,209413
2020-02-01,6093.3515625,7293.14990234375,7640.0,6505.60009765625,6640.0498046875,524511
2020-03-01,5224.60888671875,6253.35009765625,7649.9501953125,5900.0,7349.0,757236
2020-04-01,6498.6884765625,7778.2998046875,8583.9501953125,6240.0,6279.0,1232606
2020-05-01,6663.65087890625,7732.60009765625,8180.0,7306.0,7778.2998046875,745565
2020-06-01,6788.3046875,7877.25,8500.0,7700.0498046875,7825.0,584442
2020-07-01,6781.7958984375,7767.75,7960.0,7481.9501953125,7855.0,605199
2020-08-01,7175.3759765625,8218.5498046875,8989.0,7650.0,7868.0,602970
2020-09-01,7543.89990234375,8640.650390625,8918.9501953125,7970.0,8316.75,446542
2020-10-01,6984.78466796875,8000.25,8786.849609375,7880.0,8740.0,346110
2020-11-01,7217.98193359375,8267.349609375,8410.400390625,7915.25,8070.64990234375,446512
2020-12-01,7270.017578125,8326.9501953125,8397.9501953125,7786.25,8266.5,653194
2021-01-01,6823.79150390625,7815.85009765625,8525.0,7786.25,8293.7001953125,499548
2021-02-01,7220.0341796875,8269.7001953125,8354.7001953125,7750.0,7850.0,584234
2021-03-01,6883.771484375,7884.5498046875,8400.0,7620.0,8349.900390625,550409
2021-04-01,6592.8203125,7551.2998046875,8259.9501953125,7424.0,7935.0,624169
2021-05-01,6948.2353515625,7721.0498046875,7890.0,7500.0498046875,7540.0,365072
2021-06-01,6904.31982421875,7672.25,7905.0,7511.5498046875,7758.0,342031
2021-07-01,7519.72119140625,8356.099609375,8377.0,7640.0,7720.0,795116
2021-08-01,8111.591796875,9013.7998046875,9285.0,7056.5498046875,8390.0,726159
2021-09-01,7019.1025390625,7799.7998046875,9082.2998046875,7707.0,9024.900390625,681675
2021-10-01,7511.443359375,8346.900390625,8449.0,7778.7998046875,7821.60009765625,376019
2021-11-01,7146.52978515625,7941.39990234375,8400.0,7900.0,8349.900390625,292810
2021-12-01,7097.7548828125,7887.2001953125,8045.9501953125,7435.25,7955.25,396268
2022-01-01,6804.29541015625,7561.10009765625,7899.0,6945.0,7849.0,271741
2022-02-01,6527.39306640625,7253.39990234375,7599.9501953125,7068.7001953125,7570.0,218657
2022-03-01,6748.81591796875,7499.4501953125,7725.0,7003.10009765625,7253.39990234375,412739
2022-04-01,6276.814453125,6974.9501953125,7929.4501953125,6951.0,7530.0,536795
2022-05-01,6302.12451171875,6842.2001953125,7010.0,6351.0,6965.0,265375
2022-06-01,5929.27685546875,6437.39990234375,7035.9501953125,6352.0,6799.89990234375,147541
2022-07-01,5834.95947265625,6335.0,6889.9501953125,6328.0,6415.0,546033
2022-08-01,5699.28662109375,6187.7001953125,6633.0,6130.0,6385.0,402514
2022-09-01,5485.04052734375,5780.7998046875,6198.7001953125,5757.85009765625,6188.9501953125,399967
2022-10-01,5325.5888671875,5612.75,6050.0,5520.0,5848.0,448882
2022-11-01,5419.42919921875,5711.64990234375,5735.0,5454.0,5625.0,428165
2022-12-01,5553.59423828125,5853.0498046875,5947.7998046875,5652.0,5734.0,293843
2023-01-01,5217.32666015625,5498.64990234375,5865.0,5475.2998046875,5820.0,123370
2023-02-01,5544.34326171875,5843.2998046875,5980.0,5202.10009765625,5499.0,521091
2023-03-01,5441.9638671875,5735.39990234375,5899.0,5600.0,5899.0,337517
2023-04-01,5285.12109375,5570.10009765625,6041.2001953125,5550.0,5800.0,602190
2023-05-01,6661.78564453125,6792.64990234375,6910.0,5400.0,5570.10009765625,2281727
2023-06-01,6779.130859375,6912.2998046875,7244.0,6755.0498046875,6826.4501953125,420843
2023-07-01,6881.6171875,7016.7998046875,7109.7998046875,6850.0,6912.64990234375,200343
2023-08-01,6968.0205078125,7104.89990234375,7590.0,6856.0498046875,7016.0,438176
2023-09-01,7068.447265625,7207.2998046875,7345.0,7048.0,7104.89990234375,219601
2023-10-01,7414.548828125,7560.2001953125,7575.0,7160.0,7207.2998046875,390122
2023-11-01,7888.73388671875,8043.7001953125,8080.0,7525.0,7560.2001953125,398461
2023-12-01,7912.1240234375,8067.5498046875,8280.0,7854.25,8050.0,360723
2024-01-01,8496.740234375,8663.650390625,8718.5498046875,8025.60009765625,8067.5498046875,288762
2024-02-01,8447.654296875,8613.599609375,9380.0,8590.0,8690.5498046875,309988
2024-03-01,7957.63037109375,8113.9501953125,8788.7998046875,7505.0,8700.0,425822
2024-04-01,8213.298828125,8325.5498046875,8839.0,8071.5,8125.39990234375,336392
2024-05-01,8510.98046875,8627.2998046875,9060.0,7772.2998046875,8325.5498046875,519300
2024-06-01,6500.0,6500.0,10524.9501953125,5892.7998046875,8550.0,760137
2024-07-01,6609.2001953125,6609.2001953125,6866.89990234375,6292.25,6614.0,449339
2024-08-01,6809.0,6809.0,7033.64990234375,6382.35009765625,6609.2001953125,364419
2024-09-01,7048.85009765625,7048.85009765625,7600.0,6700.0,6865.0,517017
2024-10-01,6794.2998046875,6794.2998046875,7248.75,6262.0498046875,6999.5,323992
2024-11-01,6390.5,6390.5,6899.0,6009.0498046875,6796.5498046875,211093
2024-12-01,6122.64990234375,6122.64990234375,6500.0,6049.0,6432.25,246457
2025-01-01,5334.60009765625,5334.60009765625,6210.0,5319.39990234375,6122.64990234375,390453
